id,type,latitude,longitude,name,type_lieu,nombre_tables,source_count,fiabilite_count,country,city,indoor,access,website,lien_google_maps,lien_openstreetmap
13645954813,node,47.1557723,9.4793712,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.1557723,9.4793712",https://www.openstreetmap.org/node/13645954813
13648223988,node,47.1564896,9.478171,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.1564896,9.478171",https://www.openstreetmap.org/node/13648223988
13650336834,node,47.3895606,9.2914847,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.3895606,9.2914847",https://www.openstreetmap.org/node/13650336834
13662597066,node,47.3404705,8.53419895,,table_publique_parc,2,cluster_geographique,probable,,,,,,"https://www.google.com/maps/search/?api=1&query=47.3404705,8.53419895",https://www.openstreetmap.org/node/13662597066
13667474617,node,47.1582427,9.4754631,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.1582427,9.4754631",https://www.openstreetmap.org/node/13667474617
13667474659,node,47.1581135,9.4745815,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.1581135,9.4745815",https://www.openstreetmap.org/node/13667474659
13675786917,node,47.1642971,9.4854295,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.1642971,9.4854295",https://www.openstreetmap.org/node/13675786917
13675837621,node,47.1661695,9.4868088,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.1661695,9.4868088",https://www.openstreetmap.org/node/13675837621
13686954751,node,47.1718355,9.4738233,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.1718355,9.4738233",https://www.openstreetmap.org/node/13686954751
13687020436,node,47.1713757,9.4711108,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.1713757,9.4711108",https://www.openstreetmap.org/node/13687020436
13698504894,node,47.3989721,8.6014169,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.3989721,8.6014169",https://www.openstreetmap.org/node/13698504894
13699219882,node,47.2376332,9.0365201,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.2376332,9.0365201",https://www.openstreetmap.org/node/13699219882
13715716994,node,47.68948785,9.06048365,,table_publique_parc,2,cluster_geographique,probable,,,,,,"https://www.google.com/maps/search/?api=1&query=47.68948785,9.06048365",https://www.openstreetmap.org/node/13715716994
13720823929,node,47.1654007,8.517067,,table_publique_parc,2,cluster_geographique,probable,,,,yes,,"https://www.google.com/maps/search/?api=1&query=47.1654007,8.517067",https://www.openstreetmap.org/node/13720823929
13725147137,node,47.2348177,8.8419992,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.2348177,8.8419992",https://www.openstreetmap.org/node/13725147137
13725876583,node,47.4208023,9.3687022,,table_publique_parc,2,cluster_geographique,probable,,,,yes,,"https://www.google.com/maps/search/?api=1&query=47.4208023,9.3687022",https://www.openstreetmap.org/node/13725876583
13727207807,node,47.7049278,9.5096484,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.7049278,9.5096484",https://www.openstreetmap.org/node/13727207807
13728101197,node,47.3611517,7.9045263,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.3611517,7.9045263",https://www.openstreetmap.org/node/13728101197
13729703528,node,46.8193408,8.647645,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=46.8193408,8.647645",https://www.openstreetmap.org/node/13729703528
13730722267,node,47.2419079,8.8188228,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.2419079,8.8188228",https://www.openstreetmap.org/node/13730722267
13730739226,node,47.4169475,9.3830461,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.4169475,9.3830461",https://www.openstreetmap.org/node/13730739226
13733251406,node,47.2279458,8.8492804,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.2279458,8.8492804",https://www.openstreetmap.org/node/13733251406
13737497182,node,47.3831525,8.5180743,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.3831525,8.5180743",https://www.openstreetmap.org/node/13737497182
13738223893,node,47.233435,8.8244454,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.233435,8.8244454",https://www.openstreetmap.org/node/13738223893
13738223997,node,47.2301273,8.8251133,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.2301273,8.8251133",https://www.openstreetmap.org/node/13738223997
13743129063,node,47.2269061,8.827978,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.2269061,8.827978",https://www.openstreetmap.org/node/13743129063
13743129235,node,47.2284422,8.8335445,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.2284422,8.8335445",https://www.openstreetmap.org/node/13743129235
13743640636,node,47.1352944,9.5178819,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.1352944,9.5178819",https://www.openstreetmap.org/node/13743640636
13752746265,node,47.419664,9.3722324,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.419664,9.3722324",https://www.openstreetmap.org/node/13752746265
13763158930,node,47.4018979,9.3346739,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.4018979,9.3346739",https://www.openstreetmap.org/node/13763158930
13763158976,node,47.4025252,9.3339893,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.4025252,9.3339893",https://www.openstreetmap.org/node/13763158976
13763509145,node,47.28073435,8.344907500000001,,table_publique_parc,2,cluster_geographique,probable,,,,,,"https://www.google.com/maps/search/?api=1&query=47.28073435,8.344907500000001",https://www.openstreetmap.org/node/13763509145
13764701262,node,47.5069049,9.407564,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.5069049,9.407564",https://www.openstreetmap.org/node/13764701262
13785136554,node,47.1545892,8.6525125,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.1545892,8.6525125",https://www.openstreetmap.org/node/13785136554
13787698968,node,47.3793694,8.4875596,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.3793694,8.4875596",https://www.openstreetmap.org/node/13787698968
183070689,way,47.6705937,9.1858814,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.6705937,9.1858814",https://www.openstreetmap.org/way/183070689
196934687,way,47.382242950000006,8.1745443,,table_publique_parc,2,cluster_geographique,probable,,,,,,"https://www.google.com/maps/search/?api=1&query=47.382242950000006,8.1745443",https://www.openstreetmap.org/way/196934687
218070024,way,47.1537435,8.4390262,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.1537435,8.4390262",https://www.openstreetmap.org/way/218070024
230520646,way,47.4979954,8.7416787,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.4979954,8.7416787",https://www.openstreetmap.org/way/230520646
236933044,way,47.4918731,8.7414995,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.4918731,8.7414995",https://www.openstreetmap.org/way/236933044
247609799,way,47.4793998,8.2044002,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.4793998,8.2044002",https://www.openstreetmap.org/way/247609799
247609800,way,47.4786957,8.2041567,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.4786957,8.2041567",https://www.openstreetmap.org/way/247609800
252158416,way,47.4404683,8.8182431,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.4404683,8.8182431",https://www.openstreetmap.org/way/252158416
252158423,way,47.440853,8.8178212,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.440853,8.8178212",https://www.openstreetmap.org/way/252158423
254710271,way,47.4424514,8.8199732,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.4424514,8.8199732",https://www.openstreetmap.org/way/254710271
259650843,way,47.5523206,8.9017352,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.5523206,8.9017352",https://www.openstreetmap.org/way/259650843
288067463,way,47.68936513333333,8.7605087,,table_publique_parc,3,cluster_geographique,probable,,,,,,"https://www.google.com/maps/search/?api=1&query=47.68936513333333,8.7605087",https://www.openstreetmap.org/way/288067463
288067476,way,47.687707450000005,8.7526611,,table_publique_parc,2,cluster_geographique,probable,,,,,,"https://www.google.com/maps/search/?api=1&query=47.687707450000005,8.7526611",https://www.openstreetmap.org/way/288067476
288067477,way,47.6885566,8.7508002,,table_publique_parc,2,cluster_geographique,probable,,,,,,"https://www.google.com/maps/search/?api=1&query=47.6885566,8.7508002",https://www.openstreetmap.org/way/288067477
291696127,way,47.5153571,8.6364826,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.5153571,8.6364826",https://www.openstreetmap.org/way/291696127
299568848,way,47.5682351,9.0582586,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.5682351,9.0582586",https://www.openstreetmap.org/way/299568848
304003074,way,47.4359896,9.4205919,,autre,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.4359896,9.4205919",https://www.openstreetmap.org/way/304003074
307311878,way,47.5741148,9.8500894,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.5741148,9.8500894",https://www.openstreetmap.org/way/307311878
310501300,way,47.7183049,8.6448972,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.7183049,8.6448972",https://www.openstreetmap.org/way/310501300
313500384,way,47.32145445,8.78601385,,table_publique_parc,2,cluster_geographique,probable,,,,,,"https://www.google.com/maps/search/?api=1&query=47.32145445,8.78601385",https://www.openstreetmap.org/way/313500384
