club_nom,pays,url
CTM AYAMONTE,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTM+AYAMONTE%22+tenis+de+mesa+Espa%C3%B1a
CTM BOADILLA,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTM+BOADILLA%22+tenis+de+mesa+Espa%C3%B1a
CTM CORVERASTUR,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTM+CORVERASTUR%22+tenis+de+mesa+Espa%C3%B1a
CTM COSTA AZAHAR,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTM+COSTA+AZAHAR%22+tenis+de+mesa+Espa%C3%B1a
CTM CULLAR VEGA,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTM+CULLAR+VEGA%22+tenis+de+mesa+Espa%C3%B1a
CTM EL RODEO,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTM+EL+RODEO%22+tenis+de+mesa+Espa%C3%B1a
CTM GAILAK,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTM+GAILAK%22+tenis+de+mesa+Espa%C3%B1a
CTM MOS,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTM+MOS%22+tenis+de+mesa+Espa%C3%B1a
CTM MURCIA,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTM+MURCIA%22+tenis+de+mesa+Espa%C3%B1a
CTM TECNIK ´87,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTM+TECNIK+%C2%B487%22+tenis+de+mesa+Espa%C3%B1a
CTM TOLEDO,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTM+TOLEDO%22+tenis+de+mesa+Espa%C3%B1a
CTM VIGO,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTM+VIGO%22+tenis+de+mesa+Espa%C3%B1a
CTM. ILICITANO,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTM.+ILICITANO%22+tenis+de+mesa+Espa%C3%B1a
CTT ALTEA,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTT+ALTEA%22+tenis+de+mesa+Espa%C3%B1a
CTT BADALONA,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTT+BADALONA%22+tenis+de+mesa+Espa%C3%B1a
CTT BARCELONA,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTT+BARCELONA%22+tenis+de+mesa+Espa%C3%B1a
CTT BORGES,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTT+BORGES%22+tenis+de+mesa+Espa%C3%B1a
CTT CALELLA,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTT+CALELLA%22+tenis+de+mesa+Espa%C3%B1a
CTT POBLA DE VALLBONA,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTT+POBLA+DE+VALLBONA%22+tenis+de+mesa+Espa%C3%B1a
CTT PORTMANY,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTT+PORTMANY%22+tenis+de+mesa+Espa%C3%B1a
CTT RIPOLLET,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTT+RIPOLLET%22+tenis+de+mesa+Espa%C3%B1a
CTT SANT JORDI,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTT+SANT+JORDI%22+tenis+de+mesa+Espa%C3%B1a
CTT SANTISIMO SALVADOR,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTT+SANTISIMO+SALVADOR%22+tenis+de+mesa+Espa%C3%B1a
CTT SENTMENAT,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTT+SENTMENAT%22+tenis+de+mesa+Espa%C3%B1a
CTT XABIA,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTT+XABIA%22+tenis+de+mesa+Espa%C3%B1a
DAMA DE ELCHE,Espagne,https://www.google.com/maps/search/?api=1&query=%22DAMA+DE+ELCHE%22+tenis+de+mesa+Espa%C3%B1a
EIVISSA TT,Espagne,https://www.google.com/maps/search/?api=1&query=%22EIVISSA+TT%22+tenis+de+mesa+Espa%C3%B1a
ELIOCROCA,Espagne,https://www.google.com/maps/search/?api=1&query=%22ELIOCROCA%22+tenis+de+mesa+Espa%C3%B1a
ELS AMICS TERRASA,Espagne,https://www.google.com/maps/search/?api=1&query=%22ELS+AMICS+TERRASA%22+tenis+de+mesa+Espa%C3%B1a
FALCONS SABADELL A.E.,Espagne,https://www.google.com/maps/search/?api=1&query=%22FALCONS+SABADELL+A.E.%22+tenis+de+mesa+Espa%C3%B1a
FUENCARRAL - EL PARDO TM,Espagne,https://www.google.com/maps/search/?api=1&query=%22FUENCARRAL+-+EL+PARDO+TM%22+tenis+de+mesa+Espa%C3%B1a
FUENLABRADA TEAM,Espagne,https://www.google.com/maps/search/?api=1&query=%22FUENLABRADA+TEAM%22+tenis+de+mesa+Espa%C3%B1a
FUENTE DE CANTOS,Espagne,https://www.google.com/maps/search/?api=1&query=%22FUENTE+DE+CANTOS%22+tenis+de+mesa+Espa%C3%B1a
GASTEIZ,Espagne,https://www.google.com/maps/search/?api=1&query=%22GASTEIZ%22+tenis+de+mesa+Espa%C3%B1a
GUADARRAMA,Espagne,https://www.google.com/maps/search/?api=1&query=%22GUADARRAMA%22+tenis+de+mesa+Espa%C3%B1a
GURE TALDE,Espagne,https://www.google.com/maps/search/?api=1&query=%22GURE+TALDE%22+tenis+de+mesa+Espa%C3%B1a
ILLAS CIES TM,Espagne,https://www.google.com/maps/search/?api=1&query=%22ILLAS+CIES+TM%22+tenis+de+mesa+Espa%C3%B1a
INCA,Espagne,https://www.google.com/maps/search/?api=1&query=%22INCA%22+tenis+de+mesa+Espa%C3%B1a
INDEPENDIENTE-AND,Espagne,https://www.google.com/maps/search/?api=1&query=%22INDEPENDIENTE-AND%22+tenis+de+mesa+Espa%C3%B1a
INDEPENDIENTE-RFETM,Espagne,https://www.google.com/maps/search/?api=1&query=%22INDEPENDIENTE-RFETM%22+tenis+de+mesa+Espa%C3%B1a
JEREZ,Espagne,https://www.google.com/maps/search/?api=1&query=%22JEREZ%22+tenis+de+mesa+Espa%C3%B1a
JUVENTUD,Espagne,https://www.google.com/maps/search/?api=1&query=%22JUVENTUD%22+tenis+de+mesa+Espa%C3%B1a
LEKA ENEA IRUN,Espagne,https://www.google.com/maps/search/?api=1&query=%22LEKA+ENEA+IRUN%22+tenis+de+mesa+Espa%C3%B1a
