club_nom,pays,url,latitude,longitude
AD Caramanchão,Portugal,https://www.google.com/maps/search/?api=1&query=%22AD+Caramanch%C3%A3o%22+t%C3%A9nis+de+mesa+Portugal,32.726920,-16.789717
AD Galomar,Portugal,https://www.google.com/maps/search/?api=1&query=%22AD+Galomar%22+t%C3%A9nis+de+mesa+Portugal,40.969118,-7.259984
AD JORGE ANTUNES,Portugal,https://www.google.com/maps/search/?api=1&query=%22AD+JORGE+ANTUNES%22+t%C3%A9nis+de+mesa+Portugal,38.731884,-9.137989
ADC LAPENSE,Portugal,https://www.google.com/maps/search/?api=1&query=%22ADC+LAPENSE%22+t%C3%A9nis+de+mesa+Portugal,40.495492,-7.897207
ADC Ponta Pargo,Portugal,https://www.google.com/maps/search/?api=1&query=%22ADC+Ponta+Pargo%22+t%C3%A9nis+de+mesa+Portugal,32.813927,-17.263069
ADX MILAGROSA,Espagne,https://www.google.com/maps/search/?api=1&query=%22ADX+MILAGROSA%22+tenis+de+mesa+Espa%C3%B1a,42.805053,-1.638816
AEC SORBIERS,France,https://www.google.com/maps/search/?api=1&query=%22AEC+SORBIERS%22+tennis+de+table+France,45.489142,4.435895
AEC UNIEUX,France,https://www.google.com/maps/search/?api=1&query=%22AEC+UNIEUX%22+tennis+de+table+France,45.406314,4.261147
AEL GUERET,France,https://www.google.com/maps/search/?api=1&query=%22AEL+GUERET%22+tennis+de+table+France,46.186366,1.875425
AEP ETOILE,France,https://www.google.com/maps/search/?api=1&query=%22AEP+ETOILE%22+tennis+de+table+France,47.252257,5.934709
AEP NOHANENT,France,https://www.google.com/maps/search/?api=1&query=%22AEP+NOHANENT%22+tennis+de+table+France,45.808766,3.057461
AF CRAPONNE,France,https://www.google.com/maps/search/?api=1&query=%22AF+CRAPONNE%22+tennis+de+table+France,,
AG Caen,France,https://www.google.com/maps/search/?api=1&query=%22AG+Caen%22+tennis+de+table+France,49.213139,-0.374286
AGDE TENNIS DE TABLE,France,https://www.google.com/maps/search/?api=1&query=%22AGDE+TENNIS+DE+TABLE%22+tennis+de+table+France,43.315497,3.474189
AGGLO DREUX VERNOUILLET TT,France,https://www.google.com/maps/search/?api=1&query=%22AGGLO+DREUX+VERNOUILLET+TT%22+tennis+de+table+France,48.735150,1.344860
AGNETZ ASTT,France,https://www.google.com/maps/search/?api=1&query=%22AGNETZ+ASTT%22+tennis+de+table+France,49.380074,2.388404
Aiffres TTC,France,https://www.google.com/maps/search/?api=1&query=%22Aiffres+TTC%22+tennis+de+table+France,46.295894,-0.428005
AIGLONS D ORIENT,France,https://www.google.com/maps/search/?api=1&query=%22AIGLONS+D+ORIENT%22+tennis+de+table+France,-20.880943,55.454530
Aigre Club Pongiste du Pays,France,https://www.google.com/maps/search/?api=1&query=%22Aigre+Club+Pongiste+du+Pays%22+tennis+de+table+France,45.888764,0.007206
AIGREFEUILLAIS C.P.,France,https://www.google.com/maps/search/?api=1&query=%22AIGREFEUILLAIS+C.P.%22+tennis+de+table+France,46.808870,1.700300
Aigrefeuille CP,France,https://www.google.com/maps/search/?api=1&query=%22Aigrefeuille+CP%22+tennis+de+table+France,46.119845,-0.942072
AIGURANDE TT,France,https://www.google.com/maps/search/?api=1&query=%22AIGURANDE+TT%22+tennis+de+table+France,46.436162,1.826060
